行政區,站名,站址,方向,候車亭型式代碼
中正區,中華路北站,中華路北站1段29號前公車專用道,往北,H
中正區,中華路北站,中華路北站1段29號前公車專用道,往北,H
中正區,中華路北站,中華路北站1段29號前公車專用道,往北,H
中正區,中華路北站,中華路北站1段29號前公車專用道,往北,H
中正區,中華路北站,中華路1段41號前慢車道,往北,H
中正區,中華路北站,中華路1段41號前慢車道,往北,H
中正區,捷運西門站,中華路1段59號前,往北,H
中正區,捷運西門站,中華路1段59號前,往北,H
中正區,捷運西門站,中華路1段59號前,往北,H
中正區,捷運西門站,中華路1段59號前,往北,H
萬華區,中華路北站,中華路北站1段76號前公車專用道,往南,H
萬華區,中華路北站,中華路北站1段76號前公車專用道,往南,H
萬華區,中華路北站,中華路北站1段76號前公車專用道,往南,H
萬華區,中華路北站,中華路北站1段76號前公車專用道,往南,H
萬華區,中華路北站,中華路1段90號前慢車道,往南,H
萬華區,中華路北站,中華路1段90號前慢車道,往南,H
萬華區,中華路北站,中華路1段90號前慢車道,往南,H
萬華區,捷運西門站,中華路1段152號前,往南,H
萬華區,捷運西門站,中華路1段152號前,往南,H
萬華區,捷運西門站,中華路1段152號前,往南,H
萬華區,捷運西門站,中華路1段152號前,往南,H
萬華區,捷運西門站,中華路1段164號前慢車道,往南,H
萬華區,捷運西門站,中華路1段164號前慢車道,往南,H
萬華區,捷運西門站,中華路1段164號前慢車道,往南,H
萬華區,小南門,中華路1段200號前慢車道,往南,H
萬華區,小南門站,中華路1段202號前,往南,H
萬華區,小南門站,中華路1段202號前,往南,H
萬華區,小南門站,中華路1段202號前,往南,H
中山區,民權松江路口,松江路317號前,往北,I
中山區,民權松江路口,松江路317號前,往北,I
中山區,捷運行天宮,松江路318號前,往南,I
中山區,捷運行天宮,松江路318號前,往南,I
中山區,捷運行天宮,松江路318號前,往南,I
中山區,捷運行天宮,松江路318號前,往南,I
中山區,捷運行天宮,松江路219號前,往北,I
中山區,捷運行天宮,松江路219號前,往北,I
中山區,長春松江路口,松江路158號前,往南,I
中山區,長春松江路口,松江路158號前,往南,I
中山區,長春松江路口,松江路131號前,往北,I
中山區,長春松江路口,松江路131號前,往北,I
中山區,捷運松江南京,松江路122號前,往南,I
中山區,捷運松江南京,松江路122號前,往南,I
中山區,捷運松江南京,松江路122號前,往南,I
中山區,捷運松江南京,松江路111號前,往北,I
中山區,捷運松江南京,松江路111號前,往北,I
中山區,捷運松江南京,松江路111號前,往北,I
中山區,長安松江路口,松江路54號前,往北,I
中山區,長安松江路口,松江路54號前,往北,I
中山區,長安松江路口,松江路51號前,往南,I
中山區,長安松江路口,松江路51號前,往南,I
大安區,光華商場,新生北路1段7號前,往北,I
大安區,光華商場,新生北路1段7號前,往北,I
大安區,光華商場,新生北路1段7號前,往北,I
大安區,光華商場,新生北路1段7號對面,往南,I
大安區,光華商場,新生北路1段7號對面,往南,I
大安區,光華商場,新生北路1段7號對面,往南,H
大安區,捷運忠孝新生,新生南路1段62號前,往南,H
大安區,捷運忠孝新生,新生南路1段62號前,往南,H
大安區,捷運忠孝新生,新生南路1段85號前,往北,H
