行政區,站名,站址,方向,候車亭型式代碼
內湖區,捷運葫洲站(康寧護校),康寧路三段39號同向,往西,I
內湖區,明湖國小(公共電視台),康寧路3段54-5號左側6M,東,J
內湖區,明湖國小(公共電視台),康寧路三段81號同向,東,J
內湖區,明湖國小(公共電視台),康寧路三段81號站區前,往西,I
內湖區,捷運東湖站(南湖高中),康寧路三段220號同向,南,J
內湖區,康寧護專,康寧路三段75巷141號,往南,J
文山區,萬芳國宅,萬寧街36巷口,往東,I
文山區,萬寧街,萬寧街141號前,往東,H
文山區,萬寧街,萬寧街141號對面,往西,H
文山區,萬寧山莊,萬寧街161號對面,往西,I
文山區,萬寧山莊,萬芳段1小段41地號(萬寧街157號前),往東,H
文山區,萬寧山莊,萬芳段1小段41地號(萬寧街157號前),往東,I
文山區,萬美社區,萬美街2段與萬寧街口,東,J
北投區,關渡自然公園,北投區關渡路55號同向,往北,I
北投區,致遠新村,北投區秀山路31號同向,南,I
北投區,第一展望,北投區紗帽路84號同向,往東,J
士林區,衛理女中(原住民文化主題公園),至善路二段321號對面,往北,G
士林區,至善國中,至善路二段360號前,往西,F
士林區,至善國中,至善路二段360號對面,往東,I
士林區,雙溪別墅,至善路二段392號對面,往南,G
士林區,碧溪橋,至善路3段150號前,往北,F
士林區,聖人橋,至善路3段336巷口,往東,F
士林區,故宮博物院,至善路二段250號對面,往西,G
士林區,東吳大學(錢穆故居),至善路一段139號,往南,G
士林區,沙崙,士林區至善路3段79號對向,往東,I
士林區,雙溪淨水場,士林區至善路3段110號同向,往東,I
士林區,大豐,士林區至善路3段219巷對向,東,I
士林區,礁坑,至善路三段同向,東,I
士林區,外雙溪橋,至善路二段471號同向,西,J
士林區,至善路三段,至善路3段129-1號對向,東,J
士林區,沙崙下,至善路3段31號對向,東,J
士林區,明德樂園,至善路3段59號對向,東,J
士林區,聖人瀑布,至善路3段369號對向,北,J
士林區,礁坑橋,至善路3段187號對向,東,J
士林區,溪山派出所,至善路3段263號對向,東,J
士林區,溪山國小,至善路三段199號對面,東,J
士林區,梅林新村,至善路一段138巷3弄1號,往東,J
士林區,梅林新村,至善路一段138巷3弄1號,東,
南港區,中華賓士,南港路三段104號前,往西,J
南港區,松山磚廠,南港路三段250號,往西,I
南港區,玉成國小,南港路三段9號,東,I
南港區,玉成國小,南港路三段9號,東,I
中山區,大同大學,中山北路三段53號,北,J
中山區,大同大學,中山北路三段51號對面,南,J
萬華區,老松國小,桂林路65巷口,往南,H
萬華區,西門國小(台大醫院北護分院),康定路37號前,往北,I
萬華區,西門國小(台大醫院北護分院),康定路37號前,往北,I
萬華區,峨嵋街口(中醫院區),康定路22號對面,往北,I
萬華區,龍山國中,南寧路54號前,往北,F
萬華區,龍山國中,南寧路48號巷口,往北,G
萬華區,聯合醫院和平院區,中華路二段1號對面,往南,I
萬華區,聯合醫院和平院區,中華路二段1號對面,往南,I
