行政區,站位名稱,站址,方向
松山區,三民國小,民權東路五段1號同向,往西
內湖區,大湖,成功路四段366號,往北
內湖區,大湖公園,成功路五段(慈濟內湖園區門口),往北
內湖區,內湖行政大樓,民權東路6段83號同向,往西
內湖區,瑞光港墘路口,瑞光路356號,往東
內湖區,民權隧道二,民權東路6段246號(隧道口),往東
大安區,自來水處(辛亥),辛亥路三段200號對面,往北
松山區,東新國小,重陽路196號,往東
松山區,松山新城,光復北路224號對向,往北
內湖區,黃石公廟,成功路五段35巷口,往南
內湖區,港墘派出所,港墘路115號對面,往西
內湖區,公館山,瑞光路104號,往東
大安區,國立臺北教育大學,復興南路2段280號,往南
南港區,捷運昆陽站,忠孝東路6段422、442、458號前,往東
大同區,大龍街口,民權西路147號同向,往西
內湖區,內湖基湖路口,基湖路1號對向,往南
中山區,吉林國小,吉林路69號對向,往南
大安區,阿波羅大廈,忠孝東路4段233號,往西
文山區,政大附中,政大一街314號同向,往東
內湖區,基湖站,基湖路25號同向,往北
中正區,捷運中正紀念堂(勞保局),羅斯福路一段4號,往南
大安區,捷運古亭站(電力公司),和平東路1段31號,往西
大安區,捷運古亭站(和平),和平東路1段61號,往西
北投區,關渡自然大樓,關渡路28號同向,往南
北投區,大愛電視台,北投區立德路2號對向50m,往南
北投區,大業路二,大業路392號對向,往南
北投區,大業路三,大業路460號對向,往南
中山區,合江街口,民生東路3段10號,往東
中山區,興安華城,復興北路226號,往南
中山區,復興北村,復興北路482號,往南
大安區,文昌街口,安和路2段53號,往北
大安區,文昌街口,安和路2段48號,往南
萬華區,東園國小,東園街158號,往北
北投區,鳳甲美術館,北投區大業路282號對向,往南
大安區,延平中學,建國南路1段275號,往北
信義區,信義國中,近松仁路153巷,往北
中正區,捷運中正紀念堂站(中山),中山南路20號(6號出口),往南
大安區,新民國小,大安區辛亥路1段133號,往西
中山區,新福里,中山區吉林路345號,往北
中山區,榮星花園,中山區建國北路3段14號對向,往北
士林區,蘭雅國小,克強路22號對向,往東
松山區,民生敦化路口,民生東路三段121號,往西
中山區,五常國小,龍江路329號同向,往北
信義區,松廉松智路口,松智路101 人行陸橋下,往北
信義區,世貿新城,信義區松智路31號同向,往北
信義區,市政府(松智),新舞臺(松智路),往北
信義區,永吉松信路口,松信路105號對向,往南
大安區,立人國際中小學,大安區安和路2段88號同向,往南
萬華區,老松國小,桂林路69號對面,往東
萬華區,萬華運動中心,西寧南路6-1號,往南
信義區,東興路,信義區東興路71號同向,往北
信義區,東興路,信義區東興路71號對向,往南
南港區,南港水廠,研究院路1段183號對面,往南
大安區,台大資訊大樓,辛亥路二段165號正對面,往東
大安區,台大資訊大樓,辛亥路2段155號旁,往西
大安區,芳和國中,辛亥路三段157巷,往南
中正區,客家文化主題公園,師大路194號對向(客家主題園區),往東
士林區,中影文化城,至善路2段34號前,往東
大安區,仁愛國中(安和),大安區安和路1段83號同向,往北
信義區,松平路口,松仁路151巷巷口,往北
松山區,民權東路口,民權東路4段敦北公園前,往東
萬華區,萬興圖書館,萬壽路27號(秀明路2段與萬壽路交岔口旁)(萬興圖書館對面),往北
文山區,木南公園,木新路2段73號,往北
文山區,指南路口,木新路2段29號,往北
萬華區,古亭國中,中華路二段602號,往南
文山區,政大附中,政大一街353號,往西
大安區,臥龍街口,和平東路三段38號,往東
信義區,吳興國小(松仁),松仁路227號對面,往南
內湖區,福華商場,民權東路六段127號同向,往西
大安區,金山潮州路口,金山南路2段179號,往北
萬華區,青年公園(國興),國興路30號前,往北
松山區,民生敦化路口,民生東路三段158號,往東
中正區,國興路口,中華路二段413號,往北
大同區,民族重慶路口,民族西路202號,往東
士林區,芝山抽水站,至誠路二段112號同向,往西
士林區,雙溪公園,至善路一段116號,往東
士林區,士林市場(銘傳會館),基河路114號同向,往南
大同區,中山足球場,民族西路2之3號,往東
萬華區,中華南海路口,中華路二段339號,往北
內湖區,內湖運動公園,舊宗路2段與民權東路6段11巷口對面,往南
中山區,市民復興路口,市民大道三段209號(中崙大樓前),往西
松山區,西華飯店,民生東路三段109號,往西
松山區,西華飯店,民生東路三段126號,往東
士林區,東山路,東山路27號對向,往北
中正區,捷運善導寺站,中正區忠孝東路1段7號同向(捷運善導寺站1號出口正前方),往西
中正區,捷運善導寺站,中正區忠孝東路1段7號同向(捷運善導寺站1號出口正前方),往西
內湖區,內湖運動公園,舊宗路2段與民權東路6段11巷口南側,往北
士林區,梅林新村,至善路一段138巷3弄1號對面,往西
士林區,雙溪公園,至善路一段117號對面,往西
萬華區,西園路二段,西園路二段296號,往南
松山區,東興路(一),松山區東興路21號,往北
松山區,東興路(一),松山區東興路12號,往南
大安區,阿波羅大廈,忠孝東路四段248巷西方100m處,往東
大安區,阿波羅大廈,忠孝東路四段248巷西方100m處,往東
中正區,捷運中正紀念堂(愛國),愛國東路86號對面,往西
大安區,捷運科技大樓站,復興南路二段198號,往南
中山區,救國團一,民生東路二段149號,往西
中山區,救國團一,民生東路二段170號,往東
松山區,公教住宅,民生東路四段103號,往西
內湖區,干城一村,金湖路175號,往南
內湖區,干城一村,金湖路179號對面,往北
信義區,興雅國中,松仁路879號前,往北
松山區,南京公寓(捷運南京三民),南京東路5段237號,往西
北投區,保一總隊,立農街2段，大都會榮總站出口外側,南
大安區,愛國金山路口,愛國金山路口,東
萬華區,雙園街口,艋舺大道389號對面,東
內湖區,民權隧道,內湖區民權東路6段467號同向,西
中山區,民生東路口,復興北路301號,北
信義區,興雅國小,永吉路180巷巷口,東
大同區,捷運圓山站,玉門街花博公園對面，捷運圓山站1號出口往南200公尺,南
士林區,德行(中山忠誠路口),中山北路六段17號前,南
大同區,成淵高中,承德路2段200號,南
松山區,長壽公園,健康路153號,西
中山區,五常街口,復興北路436號,南
內湖區,金城春曉,康寧路1段265號,西
文山區,景文中學,木新路2段156-1號前,南
大安區,臺大綜合體育館,新生南路3段38號,南
大安區,臺大,新生南路3段88號,南
中正區,濟南金山路口,中正區濟南路20號,東
內湖區,公館山,瑞光路104號,東
