行政區,站名,站址,方向,候車亭型式代碼
中正區,南昌公園,南昌路2段65號對面,往南,I
中正區,強恕中學,汀州路二段130號對面,往北,I
中正區,捷運臺大醫院,公園路50號對面,往北,I
中正區,捷運臺大醫院,公園路50號對面,往北,I
中正區,捷運臺大醫院,公園路50號對面,往北,I
中正區,捷運臺大醫院,公園路50號前,往南,I
中正區,捷運臺大醫院,公園路50號前,往南,I
中正區,捷運臺大醫院,公園路50號前,往南,I
中正區,捷運臺大醫院,公園路50號,往南,I
中正區,博物館,襄陽路23號對面,往東,I
中正區,博物館,襄陽路9號對面,往東,I
中正區,開南商工,林森南路33號對面,往南,G
中正區,台北車站專用道,台北車站東側計程車排班區(無編號),往南,I
中正區,台北車站專用道,台北車站東側計程車排班區(編號1),往南,I
中正區,台北車站專用道,台北車站東側計程車排班區(編號2),往南,I
中正區,台北車站專用道,台北車站東側計程車排班區(編號3),往南,J
中正區,台北車站專用道,台北車站東側計程車排班區(編號4),往南,J
中正區,台北車站東側門,台北車站東側前,往南,F
中正區,台北車站東側門,台北車站東側前,往南,F
中正區,寶慶路,寶慶路49號對面,往北,I
中正區,寶慶路,寶慶路49號對面,往北,I
中正區,寶慶路,寶慶路49號對面,往北,J
中正區,小南門（和平院區）,延平南路與愛國西路口東側34公尺處,往東,I 
中正區,螢橋國小,汀州路2段21號對面,往東,I
大同區,圓環(南京),南京西路208號對面,往西,J
大同區,圓環(南京),南京西路208號對面,往西,J
大同區,圓環(南京),南京西路208號對面,往西,J
大同區,台北橋(太平國小),延平北路2段241號右側,往北,G
大同區,台北橋(太平國小),延平北路二段241號右側,往北,I
大同區,台北橋,延平北路二段268號左側,往南,G
大同區,汙水處理廠,延平北路四段235號對面,往南,G
大同區,大龍峒保安宮,酒泉街58號對面,往西,F
中山區,中山女高,長安東路2段148號對面,往西,G
中山區,臺北大學(臺北校區),民生東路3段88巷口,往東,F
中山區,臺北大學(臺北校區),民生東路三段67號前,往西,I
中山區,合江街口,民生東路三段13號前,往西,I
中山區,正守公園,長安東路一段56巷旁,往東,I
中山區,中山足球場,民族西路往西中山足球場門口   （近民族東玉門街口）　　　　　　,往西,I
中山區,新生公園,民族東路142號對面,往西,I
中山區,新生公園,民族東路208號對面,往西,I
中山區,民族東路口,新生北路3段82-1號前高架橋旁,往南,I
中山區,稻江護校,新生北路3段50-2號對面,往南,I
中山區,新壽公園,吉林路311巷對面,往南,F
中山區,中山國小(新生),新生北路3段18號前,往南,G
中山區,中央電臺,北安路87巷口,往西,G
中山區,空軍司令部,北安路通北街口,往東,I
中山區,空軍司令部,北安路通北街口,往西,I
中山區,圓山新城二,通北街65巷口,往南,G
中山區,力行新城,通北街107號前,往南,F
中山區,捷運大直站,北安路520號對面,往西,G
中山區,捷運大直站,北安路520號對面,往西,I
中山區,大直加油站,北安路670巷口,往西,I
中山區,捷運劍南路站,北安路807號前,往西,I
中山區,美麗華,內湖路1段1巷口對面,往東,I
中山區,美麗華,內湖路1段1巷口旁,往西,H
中山區,基河二期國宅三,樂群二路150號前,往東,G
中山區,基河二期國宅一,樂群二路202號前,往東,F
中山區,基河二期國宅一,樂群二路202號對面,往西,G
中山區,基河二期國宅二,樂群二路147號對面,往西,F
中山區,基河二期國宅三,樂群二路113號前,往西,H
中山區,明水路口,明水路樂群二路口,往西,G
