行政區,站名,站址,方向,候車亭型式代碼
北投區,鳳甲美術館,大業路260號左面,向北,
北投區,鳳甲美術館,大業路260號左面,向北,
北投區,大業路二,大業路368號,向北,a
北投區,十信高中,大業路514號(十信工商),向北,
北投區,十信高中,大業路570號對面,向南,b
北投區,大同街口,大業路695號(天主教堂大門左側),向南,a
中正區,行政院站,中山北路1段14和18號對面,向北,c
中正區,行政院站,中山北路1段14和18號前,向南,e
中正區,行政院站,中山北路1段14和18號前,向南,e
中山區,中山市場,中山北路1段116號,向南,
中山區,中山市場,中山北路1段116號,向南,
中山區,國賓飯店,中山北路2段61號,向北,a
中山區,國賓飯店,中山北路2段61號對面,向南,
中山區,國賓飯店,中山北路2段61號對面,向南,
中山區,台泥大樓,中山北路2段112號(馬階醫院),向南,c
中山區,大同公司,中山北路3段19號,向北,e
中山區,大同公司,中山北路3段19號,向北,e
中山區,大同公司,中山北路3段19號對面(撫順公園),向南,c
中山區,大同公司,中山北路3段19號對面(撫順公園),向南,c
中山區,大同大學,中山北路3段51~2號,向北,
中山區,大同大學,中山北路3段51~2號,向北,
中山區,大同大學,中山北路3段51~2號,向北,
中山區,大同大學,中山北路3段51號對面(與德惠街口東南側10M),向南,
中山區,大同大學,中山北路3段51號對面(與德惠街口東南側10M),向南,
中山區,臺北市立美術館,中山北路3段(美術館左側),向北,d
中山區,臺北市立美術館,中山北路3段(美術館左側),向北,d
中山區,臺北市立美術館,中山北路3段(美術館左側),向北,d
中山區,臺北市立美術館,中山北路3段(與酒泉街南側80M),向南,a
中山區,臺北市立美術館,中山北路3段(與酒泉街南側80M),向南,a
中山區,臺北市立美術館,中山北路3段(與酒泉街南側80M),向南,a
士林區,劍潭,中山北路4段(福正宮右側53M),向北,c
士林區,劍潭,中山北路4段(福正宮右側53M),向北,c
士林區,劍潭,中山北路5段(員山育樂中心對面右側10M),向南,c
士林區,劍潭,中山北路5段(員山育樂中心對面右側10M),向南,c
士林區,劍潭,中山北路5段(員山育樂中心對面右側10M),向南,c
士林區,銘傳大學,中山北路5段250號右側(銘傳大學),向北,c
士林區,銘傳大學,中山北路5段250號右側(銘傳大學),向北,c
士林區,銘傳大學,中山北路5段282巷口對面,向南,c
士林區,銘傳大學,中山北路5段282巷口對面,向南,c
士林區,台電台北北區分處,中山北路5段380號右側40M,向北,c
